id,timestamp,x,y,z,label
D,241598773279024,-0.017044067,-0.009857178,-0.052841187,0
D,241598823633028,-0.1031189,0.044036865,-0.07142639,0
D,241598873987032,-0.2713318,-0.010986328,-0.096572876,0
D,241598924341036,-0.24304199,-0.10308838,-0.098358154,0
D,241598974695040,-0.085510254,-0.09162903,-0.07354736,0
D,241599025049044,-0.14978027,-0.15835571,-0.06538391,0
D,241599075403047,-0.15560913,-0.24372864,-0.15049744,0
D,241599125757051,-0.04244995,-0.31288147,-0.18565369,0
D,241599176111152,-0.041046143,-0.40612793,-0.17451477,0
D,241599226465156,-0.07901001,-0.3690033,-0.19958496,0
D,241599276819160,0.047164917,-0.25717163,-0.19198608,0
D,241599327173164,0.19418335,-0.23834229,-0.17453003,0
D,241599377527168,0.22132874,-0.27990723,-0.14311218,0
D,241599427881172,0.0954895,-0.241745,-0.07110596,0
D,241599478235176,0.022323608,-0.17210388,-0.013137817,0
D,241599528589180,0.012237549,-0.10935974,0.0152282715,0
D,241599578943184,-0.001953125,-0.01676941,0.104766846,0
D,241599629297187,-0.037475586,0.087509155,0.17416382,0
D,241599679651191,-0.0640564,0.16070557,0.16088867,0
D,241599730005195,-0.088638306,0.25294495,0.21839905,0
D,241599780359199,-0.10839844,0.34291077,0.32333374,0
D,241599830713203,-0.1056366,0.45918274,0.39311218,0
D,241599881067207,-0.14888,0.4447174,0.2878418,0
D,241599931421211,-0.081970215,0.27468872,0.033477783,0
D,241599981775215,-0.15484619,0.14399719,-0.100128174,0
D,241600032129219,-0.1387024,-0.010253906,-0.08476257,0
D,241600082483223,0.045822144,-0.13705444,-0.031799316,0
D,241600132837227,-0.026031494,-0.23939514,-0.19694519,0
D,241600183191230,-0.011505127,-0.22399902,-0.14797974,0
D,241600233545234,0.032699585,-0.15428162,-0.07594299,0
D,241600283899238,-0.055847168,-0.0954895,-0.098724365,0
D,241600334253242,-0.18466187,-0.07962036,-0.12892151,0
D,241600384607246,-0.10507202,-0.12586975,-0.0289917,0
D,241600434961250,-0.08430481,-0.080444336,0.030883789,0
D,241600485315254,-0.08406067,-0.028762817,0.083465576,0
D,241600535669258,-0.12727356,-0.00831604,0.08113098,0
D,241600586023262,-0.12728882,-0.0002593994,0.12571716,0
D,241600636377266,-0.174469,-0.072509766,0.1647644,0
D,241600686731269,-0.2511444,-0.07923889,0.25524902,0
D,241600737085273,-0.16300964,0.027114868,0.17132568,0
D,241600787439277,0.08811951,0.06694031,-0.08430481,0
D,241600837793281,0.066101074,0.02658081,-0.16731262,0
D,241600888147285,0.07368469,-0.050308228,-0.0821991,0
